,hash,author,author_date,insertions,deletions,lines,value,added_lines_py,deleted_lines_py,added_functions,added_classes,added_comment,added_code_lines,deleted_code_lines,var_names_style_stat,fun_names_style_stat,class_names_style_stat,dmm_score
44,57bace5317cade8d8e41fdfbdeea129321f32657,HelgeCPH,2021-06-01 13:45:16+02:00,,,1,0.01,0,1,0,0,0,0,1.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
45,95cbbeb78a798238e346bec45127a77b98b52f92,Davide Spadini,2021-06-01 13:39:51+01:00,,,1,0.0,0,0,0,0,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
46,dc3260076584409cd26732d14a08a811d9485ebb,HelgeCPH,2021-06-01 14:46:15+02:00,,,21,0.8400000000000001,7,14,0,0,0,7,12.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",2.0
47,0f8e5dc247e87773500442765fa3ec2d042036a9,HelgeCPH,2021-06-01 14:49:51+02:00,,,2,0.11,1,1,0,0,0,1,1.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
48,63e1d7858c377890ac1196e400bebe443a07cdde,HelgeCPH,2021-06-01 14:55:53+02:00,,,3,0.12000000000000001,1,2,0,0,0,1,2.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.0
49,94532fcac0eddd20c364585a4cf76e97d45df4bd,Davide Spadini,2021-06-01 17:15:36+01:00,,,24,0.0,0,0,0,0,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
50,01c8e0abef39a7bd378ccc795ab9dafe11d7470f,Shantanu Oak,2021-06-07 14:01:08+05:18,,,2,0.01,0,0,0,0,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
51,2ad53b0544e765187d4a23fdb4096d26bd663afb,Davide Spadini,2021-06-07 09:47:51+01:00,,,2,0.0,0,0,0,0,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
52,da846f2e75d138d64f8405f5896e4338f1e14319,Davide Spadini,2021-06-10 10:13:14+01:00,,,1,0.0,0,0,0,0,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
53,010c1ea5eab4dea9c34b719efc9fb8537c76e94a,Davide Spadini,2021-06-10 10:13:29+01:00,,,232,0.0,0,0,0,0,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
54,7e4d6b2cecddb4710791fb2f87b50807be4f9237,Stefano Dalla Palma,2021-06-15 16:58:26+02:00,,,2,0.11,1,1,0,0,0,1,1.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
55,6fb597d3c2153cc7af166f976e37348431cb8a29,Davide Spadini,2021-06-16 09:41:40+01:00,,,2,0.0,0,0,0,0,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
56,b0695c2bdb22a059091549306297ee8752e5dd26,Davide Spadini,2021-06-23 11:01:50+01:00,,,18,0.99,9,9,0,0,0,9,9.0,"[0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
57,dc0972948a81a9a1f7f79d5a4345f924a129120c,andodet,2021-07-08 20:32:04+02:00,,,7,0.6100000000000001,6,1,0,1,0,6,1.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0]",3.0
58,d1ed01feb0dfbe27fdcd525465de29a52061d616,andodet,2021-07-08 20:50:18+02:00,,,7,0.7000000000000001,7,0,1,0,1,6,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",3.0
59,151319fec5ea39e461756dedef848992375055d3,Davide Spadini,2021-07-11 17:03:57+01:00,,,14,0.0,0,0,0,0,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
60,948c0a69420c51a5d0291e4b2a24c898d4cdf15a,k----n,2021-09-16 16:32:09-06:00,,,2,0.0,0,0,0,0,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
61,65124bb65a4f6b864f7612e138f30ab828d93501,k----n,2021-09-16 23:00:27-06:00,,,2,0.0,0,0,0,0,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
62,29e8c48c50fc0633f51fda5645708018a339d05b,k----n,2021-09-17 00:31:48-06:00,,,4,0.0,0,0,0,0,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
63,3bb967e481e6a649302155305a1b2917accaa43b,Davide Spadini,2021-09-29 09:50:28+01:00,,,18,1.17,11,7,0,0,0,11,7.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
64,03ebbfa222a171896c3486592f9d86c0e96f8a7d,Davide Spadini,2021-09-29 10:15:47+01:00,,,18,0.0,0,0,0,0,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
65,3a04965b6797e179978fed4f48effa57f893be28,Davide Spadini,2021-09-29 10:31:23+01:00,,,30,1.4700000000000002,13,17,0,0,0,13,17.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
66,3a35605862fd159910a96cf742be35948cb2bd4d,k----n,2021-09-29 08:54:06-06:00,,,2,0.0,0,0,0,0,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
67,037eff6c6145269411177da884a5b0801a4e4017,Davide Spadini,2021-09-29 18:52:15+01:00,,,8,0.0,0,0,0,0,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
68,d93d90290e7cc18f87addfc127fccb14929e8f6e,Gábor Lipták,2021-10-28 20:14:53-04:00,,,6,0.0,0,0,0,0,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
69,49f4d43ce5b871667e1126423bd6126c2c17bc40,Davide Spadini,2021-10-29 11:07:24+01:00,,,6,0.0,0,0,0,0,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
70,5941709d60e3f1f7267be82a3be90e2b9dc6b835,Davide Spadini,2021-10-29 15:15:22+01:00,,,2,0.0,0,0,0,0,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
71,a17267960af2f8e617a2dfc4837427f90e8c50f0,Davide Spadini,2021-10-29 15:23:13+01:00,,,2,0.0,0,0,0,0,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
72,2351934004277721847476a84f5ed6941aadd4d6,Davide Spadini,2021-10-29 15:26:28+01:00,,,2,0.0,0,0,0,0,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
73,26e6b594102e1f0a3e1029c5389fedec3cc55471,Davide Spadini,2021-11-29 10:00:01+00:00,,,9,0.0,0,0,0,0,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
