author,commit_count,lines,value,added_lines_py,deleted_lines_py,added_functions,added_classes,added_comment,added_code_lines,deleted_code_lines,var_names_style_stat,fun_names_style_stat,class_names_style_stat,dmm_score
Christian Luhmann,1,0.0,0.0,0,0,0,0,0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Christopher Krapu,5,0.0,19.88,198,4,2,1,6,192,4.0,"[12, 0, 2, 1, 10, 0, 17, 2]","[0, 0, 0, 0, 2, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0]",6.153246753246753
Colin,5,0.0,9.71,90,70,0,0,0,90,70.0,"[1, 0, 0, 0, 6, 0, 13, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",3.8181818181818183
Colin Carroll,1,0.0,0.0,0,0,0,0,0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Cristian,1,0.0,1.8800000000000001,17,18,0,0,0,17,18.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Dan Foreman-Mackey,2,0.0,8.700000000000001,85,19,0,0,0,85,19.0,"[0, 0, 0, 0, 0, 0, 6, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",6.0
DeliciousHair,1,0.0,0.0,0,0,0,0,0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Demetri Pananos,2,0.0,5.8,58,0,0,1,4,54,0.0,"[2, 0, 0, 0, 2, 0, 10, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0]",2.0
Domenico89,1,0.0,2.2,22,0,1,0,0,22,0.0,"[1, 0, 0, 0, 0, 0, 3, 0]","[0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",2.0
Dominik J. Otto,1,0.0,5.220000000000001,47,51,3,0,1,46,49.0,"[6, 0, 0, 0, 2, 0, 7, 0]","[0, 0, 0, 0, 3, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Eelke Spaak,23,0.0,112.78,1012,1136,8,1,82,936,1125.0,"[13, 1, 0, 0, 47, 0, 62, 0]","[0, 0, 0, 0, 8, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0]",25.212837467635573
Eric Ma,1,0.0,0.0,0,0,0,0,0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Farhan Reynaldo,15,0.0,199.87,1729,2694,7,9,17,1727,2522.0,"[5, 0, 0, 0, 72, 0, 38, 0]","[0, 0, 0, 0, 7, 0, 0, 0]","[0, 0, 9, 0, 0, 0, 0, 0]",17.52904160516101
Fearghus,3,0.0,21.08,210,6,0,2,0,210,6.0,"[0, 0, 0, 0, 0, 0, 11, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]",4.390243902439025
Florian Roscheck,1,0.0,0.0,0,0,0,0,0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
George Ho,2,0.0,3.01,0,301,0,0,0,0,297.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.5615384615384615
Greg Mingas,1,0.0,85.64,856,3,2,2,61,795,3.0,"[36, 0, 0, 0, 35, 0, 54, 0]","[0, 0, 0, 0, 2, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]",1.7658227848101267
Guneet Singh,2,0.0,0.44,1,13,0,0,0,1,13.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",2.0
HVoltBb,2,0.0,0.11,1,1,0,0,0,1,1.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Hari,1,0.0,14.51,145,0,0,2,0,145,0.0,"[6, 0, 0, 0, 0, 0, 7, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]",2.0121951219512195
Harsh Patel,1,0.0,2.0,20,0,1,0,0,20,0.0,"[1, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",2.0
Helmut Simon,1,0.0,1.2100000000000002,12,0,0,0,1,11,0.0,"[2, 0, 0, 0, 0, 0, 4, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",3.0
Ivan Yashchuk,1,0.0,0.0,0,0,0,0,0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Jonathan Sedar,1,0.0,3.2600000000000002,32,6,0,0,0,32,6.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Jordi Warmenhoven,1,0.0,0.0,0,0,0,0,0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Juan Lopez Arriaza,1,0.0,2.3000000000000003,23,0,1,0,0,23,0.0,"[0, 0, 0, 0, 0, 0, 3, 0]","[0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",2.0
Juan Orduz,1,0.0,0.11,1,1,0,0,0,1,1.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Junpeng Lao,15,0.0,47.330000000000005,442,313,4,0,16,428,307.0,"[0, 0, 0, 0, 8, 0, 1, 0]","[0, 0, 0, 0, 3, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",8.41345029239766
Karm Patel,1,0.0,2.4400000000000004,24,4,1,0,0,24,1.0,"[1, 0, 0, 0, 0, 0, 5, 0]","[0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",2.0
Kaustubh,7,0.0,57.28,524,486,2,9,23,504,466.0,"[10, 0, 3, 0, 70, 0, 37, 0]","[0, 0, 0, 0, 2, 0, 0, 0]","[0, 0, 9, 0, 0, 0, 0, 0]",14.906944444444445
Kevin Anderson,1,0.0,0.0,0,0,0,0,0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Kyle Beauchamp,3,0.0,5.8100000000000005,55,31,0,0,0,55,31.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",3.0
Kyle Cranmer,1,0.0,0.0,0,0,0,0,0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Larry Dong,1,0.0,0.21000000000000002,2,1,0,0,0,2,1.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Lucca Zenóbio,3,0.0,23.220000000000002,209,232,4,4,4,208,198.0,"[7, 0, 0, 0, 31, 0, 14, 0]","[0, 0, 0, 0, 3, 0, 1, 0]","[0, 0, 4, 0, 0, 0, 0, 0]",2.0
Luciano Paz,10,0.0,38.550000000000004,372,130,8,0,16,358,126.0,"[10, 0, 0, 0, 20, 0, 34, 0]","[0, 0, 0, 0, 8, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",10.355144855144855
MBrouns,2,0.0,7.2,71,10,0,0,0,71,10.0,"[0, 0, 0, 0, 3, 0, 6, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",2.0555555555555554
Marco Gorelli,66,0.0,293.44,2609,3220,4,0,69,2554,3129.0,"[6, 0, 2, 3, 10, 0, 21, 0]","[0, 0, 0, 0, 4, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",35.012733361519395
Martin Ingram,1,0.0,7.61,75,9,1,0,8,67,9.0,"[5, 0, 0, 0, 11, 0, 8, 0]","[0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.9999999999999999
Matt Kretschmer,1,0.0,0.0,0,0,0,0,0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Matteo Pallini,2,0.0,83.22999999999999,774,583,2,23,13,762,566.0,"[9, 0, 0, 0, 227, 0, 76, 0]","[0, 0, 0, 0, 2, 0, 0, 0]","[0, 0, 23, 0, 0, 0, 0, 0]",1.7574823506015709
Max Horn,1,0.0,3.1300000000000003,31,1,0,1,2,29,1.0,"[0, 0, 0, 0, 0, 0, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0]",3.0
Maxim Kochurov,4,0.0,10.0,97,29,0,2,2,95,29.0,"[7, 0, 5, 0, 0, 0, 4, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]",2.6666666666666665
Meenal Jhajharia,5,0.0,11.07,105,44,0,0,0,105,44.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Michael O' Riordan,2,0.0,13.649999999999999,136,5,6,0,0,136,3.0,"[4, 0, 0, 0, 0, 0, 17, 0]","[0, 0, 0, 0, 6, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",4.0
Michael Osthege,110,0.0,430.23,4077,2047,8,11,260,3821,1930.0,"[57, 1, 11, 2, 131, 0, 330, 3]","[0, 0, 0, 0, 8, 0, 0, 0]","[0, 0, 11, 0, 0, 0, 0, 0]",95.38496916702788
Mikkel Bue Lykkegaard,1,0.0,1.1500000000000001,8,35,0,0,2,6,33.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",2.0
Morgan Pihl,3,0.0,10.39,100,39,3,0,0,100,29.0,"[3, 0, 0, 0, 2, 0, 13, 0]","[0, 0, 0, 0, 3, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",6.0
Moritz Schubert,1,0.0,0.11,1,1,0,0,0,1,1.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Neel Iyer,1,0.0,0.13,1,3,0,0,0,1,3.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Olga Kahn,1,0.0,0.4,0,0,0,0,0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Oriol (ZBook),7,0.0,141.99000000000004,1408,106,1,0,61,1368,86.0,"[0, 0, 0, 0, 3, 0, 7, 0]","[0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",2.7446497485674186
Oriol Abril,1,0.0,0.6100000000000001,6,0,0,0,1,5,0.0,"[0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Oriol Abril-Pla,14,0.0,31.29,107,73,0,0,12,97,68.0,"[0, 0, 0, 0, 8, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.3387241689128482
Osvaldo Martin,28,0.0,364.31,3437,2032,10,3,111,3333,2000.0,"[63, 0, 0, 1, 108, 0, 92, 9]","[0, 0, 0, 0, 8, 0, 2, 0]","[0, 0, 2, 1, 0, 0, 0, 0]",27.476701812598215
Overlord2335,1,0.0,0.0,0,0,0,0,0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Pattarawat Chormai,1,0.0,0.0,0,0,0,0,0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Paulo S. Costa,1,0.0,2.86,28,5,0,0,0,28,5.0,"[0, 0, 0, 0, 2, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.7999999999999998
Pyrsos,2,0.0,0.21000000000000002,2,1,0,0,0,2,1.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
RISHAV DUTTA,1,0.0,1.34,13,3,0,0,1,13,3.0,"[1, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",2.0
RaisaDZ,1,0.0,0.0,0,0,0,0,0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Raul-ing Average,7,0.0,6.87,46,190,0,0,1,46,173.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.40350877192982454
Ravin Kumar,14,0.0,1.7800000000000002,7,3,0,0,0,7,3.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Ricardo,90,0.0,358.64000000000004,3319,2662,32,12,131,3200,2510.0,"[64, 1, 0, 2, 204, 0, 196, 1]","[0, 0, 0, 0, 30, 0, 1, 1]","[0, 0, 10, 2, 0, 0, 0, 0]",91.6306596078281
Ricardo Vieira,10,0.0,64.07000000000001,575,230,0,4,29,547,215.0,"[18, 0, 0, 0, 30, 0, 48, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 4, 0, 0, 0, 0, 0]",11.667748947433383
RichardScottOZ,1,0.0,0.11,1,1,0,0,0,1,1.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Rob Zinkov,7,0.0,9.32,87,62,1,0,0,87,60.0,"[6, 0, 0, 0, 5, 0, 17, 0]","[0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",8.576470588235294
Robert DeFilippi,1,0.0,0.0,0,0,0,0,0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Robert P. Goldman,36,0.0,191.11,1830,810,5,2,350,1520,596.0,"[16, 0, 2, 0, 16, 0, 115, 0]","[0, 0, 0, 0, 3, 0, 0, 2]","[0, 0, 2, 0, 0, 0, 0, 0]",36.846919498156204
Rushabh Vasani,4,0.0,208.43,2073,113,0,0,1835,238,98.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Sachin Yadav,1,0.0,4.2,42,0,1,0,0,42,0.0,"[0, 0, 0, 0, 1, 0, 3, 0]","[0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",2.0
Sagar,1,0.0,8.11,81,1,3,0,0,81,1.0,"[1, 0, 0, 0, 0, 0, 9, 0]","[0, 0, 0, 0, 3, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",2.0
Sagar Tomar,3,0.0,5.66,56,6,2,0,0,56,6.0,"[0, 0, 0, 0, 0, 0, 6, 0]","[0, 0, 0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",4.0
Satrio H Wicaksono,2,0.0,44.57,397,487,0,0,5,397,487.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.7127659574468085
Sayam Kumar,11,0.0,278.92,2594,1942,2,8,88,2532,1918.0,"[21, 1, 2, 0, 77, 0, 89, 0]","[0, 0, 0, 0, 2, 0, 0, 0]","[0, 0, 8, 0, 0, 0, 0, 0]",17.588226842461122
Sev,1,0.0,2.5,25,0,0,0,0,25,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Shivam Sahni,1,0.0,2.7,27,0,1,0,0,27,0.0,"[1, 0, 0, 0, 0, 0, 3, 0]","[0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",2.0
Stefan Stoll,4,0.0,4.680000000000001,44,28,0,0,1,43,27.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.3333333333333333
StephenHogg,1,0.0,10.360000000000001,100,34,1,1,0,100,34.0,"[6, 0, 0, 0, 5, 0, 8, 0]","[0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0]",2.107142857142857
Swanand01,1,0.0,0.54,5,4,0,0,2,4,3.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Thomas J. Fan,1,0.0,0.0,0,0,0,0,0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Thomas Wiecki,45,0.0,157.03,1389,1487,11,3,64,1332,1405.0,"[5, 0, 9, 0, 28, 0, 13, 0]","[0, 0, 0, 0, 11, 0, 0, 0]","[0, 0, 3, 0, 0, 0, 0, 0]",9.885016933065856
Tim Gates,1,0.0,0.22,2,2,0,0,2,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Tirth Patel,10,0.0,118.32000000000001,1086,970,0,2,8,1078,966.0,"[15, 0, 4, 0, 0, 0, 17, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]",5.865671641791044
Tom McClintock,1,0.0,0.01,0,0,0,0,0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Tomoki Ohtsuki,1,0.0,19.53,195,1,3,1,10,187,1.0,"[8, 0, 0, 0, 4, 0, 7, 0]","[0, 0, 0, 0, 2, 0, 1, 0]","[0, 0, 1, 0, 0, 0, 0, 0]",1.8918918918918919
Tushar Mittal,1,0.0,0.7100000000000001,7,0,0,0,0,7,0.0,"[0, 0, 0, 0, 0, 0, 5, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
VasanthManiVasi,1,0.0,0.02,0,0,0,0,0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Yash Shukla,4,0.0,196.66,1789,1776,0,0,22,1781,1770.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",7.32258064516129
Zeel B Patel,2,0.0,8.31,83,1,4,0,0,83,1.0,"[0, 0, 0, 0, 3, 0, 10, 0]","[0, 0, 0, 0, 4, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",4.0
aloctavodia,5,0.0,10.31,98,51,0,0,1,97,51.0,"[3, 0, 0, 0, 2, 0, 4, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",4.3
juan.lopez.arriaza,3,0.0,18.92,189,2,4,0,0,189,2.0,"[0, 0, 0, 0, 1, 0, 12, 0]","[0, 0, 0, 0, 4, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",6.0
